id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,cleaning_fee,guests_included,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
241032,f,98119,Apartment,Entire home/apt,4,1,1,1,,,,2,95,10,10,10,10,9,10
953595,t,98119,Apartment,Entire home/apt,4,1,1,1,"$1,000.00 ","$3,000.00 ",$40.00 ,1,96,10,10,10,10,10,10
3308979,f,98119,House,Entire home/apt,11,4.5,5,7,,,$300.00 ,10,97,10,10,10,10,10,10
7421966,f,98119,Apartment,Entire home/apt,3,1,0,2,$650.00 ,"$2,300.00 ",,1,,,,,,,
278830,f,98119,House,Entire home/apt,6,2,3,3,,,$125.00 ,6,92,9,9,10,10,9,9
5956968,f,98119,House,Private room,2,1,1,1,$800.00 ,,$40.00 ,1,95,10,10,10,10,10,10
1909058,t,98119,House,Private room,2,1,1,1,$575.00 ,,,1,99,10,10,10,10,10,10
856550,t,98119,Cabin,Private room,2,1,1,1,$360.00 ,,$25.00 ,1,97,10,10,10,10,9,10
4948745,f,98109,Apartment,Private room,2,1,1,1,$500.00 ,"$1,700.00 ",,1,97,10,9,10,9,10,10
2493658,t,98119,Apartment,Entire home/apt,4,1,1,1,"$1,000.00 ","$3,000.00 ",$40.00 ,1,97,10,10,10,10,10,9
175576,t,98119,House,Entire home/apt,2,1,1,1,$595.00 ,,$15.00 ,2,97,10,10,10,10,10,10
4454295,f,98119,House,Entire home/apt,2,1,1,1,$800.00 ,"$2,000.00 ",$150.00 ,1,97,10,10,9,10,10,9
3883392,t,98119,Apartment,Entire home/apt,4,1,2,3,"$1,575.00 ","$5,800.00 ",$95.00 ,1,98,10,10,10,10,10,10
8889257,f,98119,House,Entire home/apt,5,1,2,3,,"$5,000.00 ",$85.00 ,4,100,10,10,9,9,10,10
5680462,f,98119,House,Entire home/apt,16,3.5,6,15,,,$300.00 ,8,98,9,10,10,10,10,10
8988178,f,98119,House,Entire home/apt,5,1,2,2,,,$89.00 ,1,80,8,10,8,8,8,8
3245876,f,98119,Apartment,Private room,2,1,1,1,,,$35.00 ,1,95,10,9,10,10,10,9
4933447,t,98119,House,Private room,2,1,1,1,,,$15.00 ,1,98,10,10,10,10,10,10
7735464,f,98119,Apartment,Private room,2,2,1,1,,,,1,,,,,,,
6291829,f,98119,House,Entire home/apt,10,3.5,5,5,"$4,100.00 ",,$250.00 ,1,85,10,9,9,9,8,8
9218403,f,98119,Condominium,Entire home/apt,1,1,1,1,$750.00 ,"$2,500.00 ",,1,100,10,10,10,10,10,10
4125779,f,98119,House,Private room,3,1.5,1,2,$568.00 ,"$2,029.00 ",$15.00 ,1,84,9,9,9,9,10,8
8942678,f,98119,House,Entire home/apt,8,2,4,4,"$3,000.00 ",,,1,100,10,10,10,10,10,10
10106055,f,98119,House,Private room,2,1,1,1,$350.00 ,,,1,,,,,,,
6362362,f,98119,House,Entire home/apt,5,2.5,3,3,,,$150.00 ,1,100,10,10,10,10,10,10
3544550,f,98119,House,Entire home/apt,8,2.5,3,5,,,$200.00 ,6,100,10,10,9,10,10,10
9025039,f,98119,House,Entire home/apt,5,1,2,3,,,$35.00 ,1,,,,,,,
3200646,t,98119,Camper/RV,Private room,2,1,1,1,$360.00 ,,$25.00 ,1,95,10,10,10,10,9,9
8859380,f,98119,Apartment,Entire home/apt,6,2,3,3,,,$125.00 ,1,100,10,10,10,10,10,10
4520099,f,98119,Apartment,Entire home/apt,3,1,1,2,$500.00 ,,$65.00 ,3,85,8,9,7,10,9,9
2481869,t,98119,Apartment,Entire home/apt,4,1,1,1,"$1,000.00 ","$3,200.00 ",$40.00 ,1,96,10,10,10,10,10,10
1110749,f,98119,House,Entire home/apt,6,1.5,3,3,,,$100.00 ,6,92,9,9,10,9,10,9
5978498,f,98119,House,Entire home/apt,4,3,3,2,$699.00 ,"$2,388.00 ",$80.00 ,1,88,9,9,9,9,10,9
5021081,f,98119,House,Entire home/apt,7,3.5,4,3,"$1,325.00 ","$4,650.00 ",$250.00 ,7,75,8,9,8,9,9,8
1686930,f,98119,Apartment,Entire home/apt,4,1,2,2,,,$99.00 ,1,97,10,10,10,10,10,9
7680289,f,98119,Apartment,Entire home/apt,4,1,1,2,$800.00 ,"$2,700.00 ",$50.00 ,2,95,10,10,10,10,10,10
7207641,f,98119,House,Entire home/apt,8,3,3,3,"$2,500.00 ",,$150.00 ,6,96,10,10,10,10,10,9
5062445,f,98119,House,Private room,1,1,1,1,$450.00 ,"$1,500.00 ",,1,97,9,8,10,10,10,10
8925878,f,98119,Apartment,Entire home/apt,4,1,1,2,$950.00 ,"$2,950.00 ",$50.00 ,2,100,10,10,10,10,10,10
6389657,t,98109,Apartment,Entire home/apt,2,1,0,1,,,$20.00 ,1,98,10,10,10,10,10,10
4218733,f,98119,Apartment,Entire home/apt,4,1,1,2,,,$40.00 ,2,90,10,8,10,10,10,9
2715623,f,98119,House,Entire home/apt,3,1,1,2,,,$100.00 ,2,91,9,10,9,9,10,10
1392332,f,98119,House,Entire home/apt,4,1.5,2,2,"$2,100.00 ",,$100.00 ,4,98,10,10,10,10,10,9
7308567,t,98119,Apartment,Entire home/apt,3,1.5,1,2,,,$50.00 ,1,98,10,10,10,10,10,10
6575380,f,98109,House,Private room,5,1,1,1,$540.00 ,"$1,911.00 ",,1,100,10,10,9,9,10,10
6004058,f,98119,Apartment,Entire home/apt,2,1,0,1,,,,1,92,9,9,9,9,9,9
9550869,f,98119,Bungalow,Entire home/apt,10,3,4,4,,,$200.00 ,1,,,,,,,
8515408,f,98119,Bungalow,Entire home/apt,2,1,0,1,$700.00 ,,$50.00 ,1,100,10,10,10,10,10,10
5383192,f,98119,House,Entire home/apt,4,1,1,2,"$1,140.00 ",,$55.00 ,2,100,8,10,10,10,10,10
1112092,f,98119,House,Entire home/apt,4,1,1,3,"$1,000.00 ","$2,700.00 ",$75.00 ,2,95,10,10,9,10,10,9
7772661,f,98119,House,Entire home/apt,2,1,0,1,,,$50.00 ,2,100,10,10,10,10,10,10
9254900,f,98119,Apartment,Entire home/apt,2,1,0,1,,"$2,000.00 ",$40.00 ,1,,,,,,,
7714294,f,98119,Apartment,Entire home/apt,3,1,1,1,$815.00 ,,$20.00 ,2,100,10,10,10,10,10,10
10310373,f,98119,Apartment,Private room,3,1,1,1,,,,1,,,,,,,
9368342,f,98119,Townhouse,Entire home/apt,2,1.5,1,1,,,$50.00 ,2,,,,,,,
